observation_id,recommendation_class_id,class_name,status,confidence,shown_at_utc,responded_at_utc,completed_at_utc,pre_productive_mins_30m,post_productive_mins_30m,productive_change_mins_30m,pre_distraction_mins_30m,post_distraction_mins_30m,distraction_change_mins_30m,post_24h_focus_sessions,post_24h_tasks_completed,baseline_productivity_profile,baseline_focus_profile
REC_OBS_001,0,"Continue Current Skill",shown,0.28,"2026-08-13T11:49:14.869Z","","",0.00,0.00,0.00,0.00,0.00,0.00,0,0,"Low Productivity","High Focus"
REC_OBS_002,1,"Start Focus Session",completed,0.88,"2026-08-13T11:49:15.184Z","2026-08-13T11:56:53.810Z","2026-08-13T11:56:53.936Z",0.00,0.00,0.00,0.00,0.00,0.00,11,0,"Low Productivity","High Focus"
REC_OBS_003,0,"Continue Current Skill",shown,0.28,"2026-08-13T11:56:53.342Z","","",0.00,0.00,0.00,0.00,0.00,0.00,0,0,"Low Productivity","High Focus"
REC_OBS_004,0,"Continue Current Skill",accepted,0.28,"2026-08-13T12:00:57.723Z","2026-08-13T12:00:57.878Z","",0.00,0.00,0.00,0.00,0.00,0.00,11,0,"Low Productivity","High Focus"
REC_OBS_005,0,"Continue Current Skill",ignored,0.28,"2026-08-13T14:25:37.683Z","","",0.00,0.00,0.00,0.00,0.00,0.00,11,0,"Low Productivity","High Focus"
REC_OBS_006,0,"Continue Current Skill",ignored,0.25,"2026-08-13T14:35:33.384Z","","",0.88,2.87,1.98,0.00,0.00,0.00,1,0,"Medium Productivity","High Focus"
REC_OBS_007,0,"Continue Current Skill",ignored,0.25,"2026-08-13T15:06:12.774Z","","",2.87,13.12,10.25,0.00,0.45,0.45,1,0,"Medium Productivity","High Focus"
REC_OBS_008,0,"Continue Current Skill",ignored,0.25,"2026-08-13T15:06:12.824Z","","",2.87,13.12,10.25,0.00,0.45,0.45,1,0,"Medium Productivity","High Focus"
REC_OBS_009,3,"Practice Coding",ignored,0.32,"2026-08-13T15:19:41.249Z","","",15.70,1.57,-14.13,0.00,0.45,0.45,1,0,"High Productivity","High Focus"
REC_OBS_010,3,"Practice Coding",dismissed,0.32,"2026-08-13T15:19:41.278Z","2026-08-13T15:21:30.807Z","",15.70,1.57,-14.13,0.00,0.45,0.45,1,0,"High Productivity","High Focus"
REC_OBS_011,0,"Continue Current Skill",shown,0.28,"2026-08-13T15:30:03.604Z","","",0.00,0.00,0.00,0.00,0.00,0.00,0,0,"Low Productivity","High Focus"
REC_OBS_012,1,"Start Focus Session",completed,0.88,"2026-08-13T15:30:03.880Z","2026-08-13T15:57:51.657Z","2026-08-13T15:57:51.818Z",0.00,20.00,20.00,0.00,0.00,0.00,11,0,"Low Productivity","High Focus"
