iter	Passed	Remaining
0	131	26180
1	163	16148
2	192	12628
3	221	10844
4	249	9743
5	279	9045
6	308	8508
7	339	8151
8	368	7820
9	398	7578
10	429	7380
11	464	7270
12	495	7129
13	524	6973
14	555	6846
15	591	6804
16	629	6776
17	664	6717
18	699	6660
19	731	6585
20	761	6490
21	793	6417
22	824	6346
23	856	6278
24	885	6199
25	917	6137
26	945	6061
27	973	5980
28	1005	5931
29	1038	5887
30	1069	5832
31	1107	5816
32	1150	5822
33	1184	5783
34	1217	5741
35	1254	5715
36	1292	5692
37	1318	5623
38	1348	5566
39	1378	5513
40	1408	5463
41	1434	5397
42	1465	5349
43	1502	5326
44	1527	5261
45	1554	5205
46	1586	5163
47	1623	5140
48	1666	5136
49	1703	5109
50	1736	5072
51	1768	5033
52	1805	5009
53	1848	4996
54	1879	4954
55	1909	4910
56	1944	4878
57	1977	4841
58	2009	4801
59	2039	4758
60	2072	4722
61	2106	4688
62	2141	4656
63	2178	4628
64	2212	4595
65	2243	4555
66	2271	4509
67	2300	4465
68	2332	4428
69	2367	4396
70	2402	4364
71	2438	4335
72	2472	4301
73	2507	4268
74	2542	4237
75	2574	4201
76	2609	4169
77	2639	4128
78	2672	4093
79	2708	4062
80	2749	4039
81	2796	4024
82	2840	4003
83	2879	3976
84	2914	3943
85	2947	3906
86	2979	3870
87	3012	3833
88	3042	3794
89	3072	3755
90	3105	3720
91	3132	3676
92	3168	3645
93	3199	3607
94	3230	3570
95	3266	3538
96	3295	3499
97	3327	3463
98	3357	3425
99	3390	3390
100	3417	3350
101	3445	3310
102	3477	3274
103	3508	3238
104	3537	3200
105	3572	3167
106	3609	3137
107	3639	3100
108	3686	3077
109	3721	3045
110	3753	3009
111	3788	2976
112	3826	2946
113	3868	2918
114	3904	2885
115	3939	2852
116	3985	2827
117	4023	2796
118	4065	2767
119	4152	2768
120	4215	2752
121	4266	2727
122	4369	2735
123	4427	2713
124	4486	2692
125	4554	2675
126	4654	2675
127	4727	2659
128	4803	2643
129	4861	2617
130	4956	2610
131	5047	2600
132	5106	2572
133	5178	2550
134	5226	2516
135	5289	2489
136	5343	2457
137	5403	2427
138	5481	2405
139	5549	2378
140	5610	2347
141	5676	2318
142	5758	2295
143	5824	2265
144	5887	2233
145	5998	2218
146	6062	2185
147	6126	2152
148	6183	2116
149	6279	2093
150	6341	2057
151	6398	2020
152	6463	1985
153	6557	1958
154	6623	1923
155	6692	1887
156	6747	1848
157	6813	1811
158	6874	1772
159	6952	1738
160	7014	1699
161	7084	1661
162	7146	1622
163	7204	1581
164	7274	1543
165	7384	1512
166	7440	1470
167	7506	1429
168	7565	1387
169	7639	1348
170	7697	1305
171	7771	1265
172	7824	1221
173	7881	1177
174	7922	1131
175	7971	1086
176	8031	1043
177	8079	998
178	8131	953
179	8183	909
180	8219	862
181	8257	816
182	8318	772
183	8381	728
184	8443	684
185	8512	640
186	8573	596
187	8619	550
188	8657	503
189	8692	457
190	8726	411
191	8762	365
192	8801	319
193	8842	273
194	8875	227
195	8904	181
196	8935	136
197	8977	90
198	9017	45
199	9053	0
