study_hours_per_day,app_usage_minutes,idle_time_minutes,lms_logins_per_week,submission_offset_hours,completion_rate_percent,deadline_misses_30d,streak_days,avg_session_length_min,distraction_visits_per_day,sleep_hours,risk_level,is_procrastinator
2.83,115.3,27.6,9,20.7,48.9,9,8,33.5,11,6.11,Moderate,1
3.12,124.9,53.7,9,19.4,72.6,6,3,30.2,9,6.23,Moderate,1
2.86,129.9,38.0,10,-1.5,39.3,7,8,36.0,9,7.18,Moderate,0
5.59,147.9,40.5,10,40.9,73.2,1,8,54.5,5,6.42,Low,0
1.13,269.7,57.5,10,6.4,36.1,12,0,25.3,16,5.19,High,1
2.99,101.2,20.0,10,56.1,81.8,5,18,44.6,0,6.91,Low,0
2.38,181.8,58.1,8,-14.0,35.6,10,0,20.0,12,4.99,Moderate,0
4.26,101.8,42.9,13,7.9,66.6,6,11,43.6,8,5.69,Low,0
5.34,162.8,16.6,12,-11.7,54.4,5,12,30.5,3,6.0,Moderate,1
2.68,155.7,37.5,6,22.0,30.0,11,3,40.8,12,6.38,Moderate,1
0.72,237.9,71.5,9,-5.7,38.4,11,1,30.3,16,5.22,Moderate,1
5.62,92.2,14.8,13,29.7,79.2,1,17,62.8,2,7.14,Moderate,0
4.53,117.0,70.3,10,9.5,50.2,7,9,33.9,0,5.57,Moderate,1
3.0,187.1,55.0,8,32.7,56.8,7,5,46.8,9,6.15,High,1
4.37,93.9,16.2,13,22.7,80.2,3,12,51.9,10,7.36,Low,0
2.57,139.0,41.5,12,17.9,48.2,9,13,38.5,11,7.71,Moderate,0
4.27,76.1,26.7,8,37.4,64.1,4,14,22.7,1,6.54,Low,0
2.45,132.6,63.5,11,-12.4,49.6,6,9,24.3,5,7.43,Moderate,1
4.65,117.5,55.2,13,28.9,74.1,2,17,27.5,7,6.54,Low,0
4.95,113.3,56.3,10,22.6,63.4,4,10,43.1,9,6.03,Moderate,0
5.44,93.0,32.4,8,18.2,65.0,7,15,39.0,6,6.63,Moderate,1
3.01,170.1,50.1,6,12.8,32.6,9,5,40.1,14,5.97,Moderate,1
5.06,120.2,34.2,9,24.7,75.9,2,14,66.2,0,6.58,Low,0
3.14,179.5,32.0,7,-0.2,59.5,4,12,39.3,4,6.45,High,1
4.94,114.3,49.2,11,50.8,74.7,2,12,47.9,6,7.31,Low,0
4.95,179.5,32.5,10,17.8,67.1,2,13,33.6,11,7.28,Moderate,0
4.2,207.4,58.9,5,21.3,53.1,8,5,35.1,9,4.51,High,1
5.05,159.6,29.4,9,19.8,57.3,4,15,33.1,4,6.33,Low,0
3.21,153.3,36.5,11,25.3,58.8,7,9,37.4,4,7.7,Low,0
2.18,155.2,21.1,12,11.6,53.0,9,10,26.0,10,6.36,Moderate,1
4.12,105.1,45.5,11,35.9,76.5,4,16,37.0,8,7.45,Low,0
3.94,111.5,38.9,10,11.8,58.4,5,9,59.0,8,6.06,Low,0
3.8,135.8,12.1,5,12.1,50.1,8,8,31.7,13,5.88,Moderate,1
6.23,111.4,22.1,12,55.7,88.9,2,24,58.9,1,7.16,Low,0
5.05,85.5,18.3,10,32.8,73.0,1,19,51.0,1,7.45,Low,0
4.97,101.3,44.0,9,39.5,77.9,5,14,41.0,11,6.55,Moderate,0
4.86,176.4,30.6,11,21.5,50.6,8,6,34.9,7,7.31,Low,0
0.64,273.5,42.6,4,-10.0,29.6,9,3,37.4,15,6.78,High,1
3.19,95.9,45.2,11,23.9,67.7,3,15,29.4,7,6.78,High,1
4.88,17.0,5.8,13,43.0,73.5,2,24,38.6,3,6.13,Low,0
5.09,119.3,17.7,11,40.6,90.2,2,16,34.8,4,7.42,Low,0
5.79,134.3,64.9,14,23.8,72.6,6,4,53.2,2,6.63,High,1
2.25,192.7,52.7,8,-3.3,36.2,12,2,28.5,13,4.24,High,1
6.58,64.2,39.5,10,41.1,82.0,2,15,51.5,2,7.51,Low,0
2.19,97.2,49.9,7,39.6,77.7,2,8,37.4,13,6.93,Moderate,1
3.9,127.5,55.6,11,11.1,55.5,2,8,34.6,9,6.1,High,1
4.84,80.8,33.6,10,48.7,62.6,7,16,37.5,7,6.84,Low,0
3.48,212.9,43.0,5,0.8,46.8,10,8,30.2,6,5.79,Moderate,1
2.22,171.3,39.8,5,1.5,40.3,5,9,28.0,5,6.42,High,1
5.44,54.5,46.5,10,16.9,87.0,2,16,40.5,4,5.44,Low,0
1.55,101.5,28.4,6,41.9,60.1,6,9,37.2,9,6.18,Moderate,1
3.4,158.8,91.7,8,27.2,42.6,8,5,51.4,12,6.5,High,1
3.96,133.9,25.3,9,34.5,70.5,6,13,26.8,4,7.57,Low,0
2.46,143.0,36.7,10,39.1,70.6,4,10,55.6,4,6.52,Low,0
2.18,215.3,77.4,6,-16.3,38.7,9,2,22.6,11,6.48,Moderate,1
5.49,133.1,9.3,17,38.1,90.8,4,17,39.4,5,7.48,Low,0
4.37,66.6,19.5,7,25.6,77.5,3,16,48.5,3,6.63,Moderate,0
2.33,117.7,36.3,8,-1.0,51.3,6,8,45.2,7,7.34,Moderate,1
4.52,122.3,75.0,5,6.3,53.9,7,9,35.7,8,7.53,Low,0
2.15,246.1,54.9,7,23.0,43.4,9,4,39.9,12,5.47,High,1
4.03,70.8,39.1,11,33.7,71.7,3,18,43.8,1,7.73,Low,0
0.66,242.9,63.8,6,13.9,32.2,10,7,28.7,10,5.67,High,1
3.12,108.3,61.1,4,29.4,58.0,7,6,23.9,14,5.76,Moderate,0
2.96,180.2,42.8,11,39.1,63.5,6,10,36.3,11,6.47,Moderate,0
4.2,135.1,7.4,7,33.1,69.1,2,13,34.5,7,6.39,Moderate,0
