study_hours_per_day,focus_session_minutes,productive_minutes,distraction_minutes,idle_time_minutes,completed_tasks,pending_tasks,deadline_completion_rate,coding_hours,reading_hours,revision_hours,quiz_score,practice_questions,sleep_hours,break_frequency,focus_score,xp_earned,current_level,streak_days,skills_completed,productivity_score
2.02,104.0,144.8,266.9,139.7,2,15,29.29,0.33,0.48,0.5,56.94,8,6.54,9,32.68,2531,4,36,0,11.6
8.26,219.0,384.3,155.3,73.2,10,8,84.9,3.11,3.4,2.19,78.66,93,7.93,3,80.96,20197,38,262,37,87.57
2.84,97.8,161.6,196.6,99.7,4,13,56.85,0.92,1.09,0.62,53.04,30,6.73,7,35.59,3713,10,66,8,25.09
3.46,108.8,178.4,340.5,156.2,2,12,45.32,0.83,0.87,0.86,39.2,20,6.72,8,35.3,2493,12,52,8,18.59
4.12,142.3,225.7,169.4,122.1,6,13,51.12,2.2,1.72,1.45,59.2,31,7.12,5,40.89,5914,13,57,12,44.06
5.19,118.3,260.0,160.1,75.8,7,9,59.2,2.49,0.86,1.89,82.77,59,7.47,5,62.78,11285,26,194,28,65.81
5.7,130.8,279.9,176.4,79.5,9,8,68.2,3.09,1.59,1.24,67.35,41,7.24,3,62.39,12870,33,177,23,68.25
6.87,174.3,312.1,75.6,74.1,11,8,70.27,1.78,2.01,1.61,80.1,66,6.68,4,77.83,15589,35,257,33,79.6
1.57,66.4,72.8,233.1,125.4,1,17,27.88,1.56,0.65,0.61,50.8,0,6.8,8,37.11,3667,9,42,1,14.0
3.78,98.9,156.3,115.3,80.3,7,10,55.46,1.21,1.64,0.6,60.45,57,9.03,4,63.79,9387,19,123,27,47.74
7.48,282.1,407.2,64.7,94.5,9,5,71.42,2.74,2.24,1.4,82.37,72,7.47,4,86.46,18300,38,261,39,77.68
4.46,124.4,241.8,132.1,96.7,3,7,58.92,1.07,1.64,1.01,71.91,47,7.16,5,63.18,9566,20,142,19,50.35
4.27,138.6,193.4,132.5,79.0,7,12,62.43,2.37,1.0,1.01,57.22,40,7.68,6,68.95,11099,23,171,20,58.0
3.69,60.7,142.0,116.5,121.5,7,10,54.2,1.8,0.91,0.57,65.08,42,8.14,2,61.43,11587,28,172,17,55.45
7.04,204.2,373.8,158.6,70.1,10,4,72.2,2.93,2.59,2.0,89.5,67,8.72,4,86.49,19613,34,245,37,80.62
8.61,279.5,438.2,80.6,71.6,14,5,86.9,3.72,2.51,2.54,100.0,82,8.13,2,94.74,22606,46,272,46,95.85
5.15,179.3,235.1,84.2,56.8,6,11,86.97,2.24,1.19,1.31,74.3,53,8.6,3,78.88,14438,33,233,32,73.7
4.3,110.9,221.6,153.6,102.9,8,15,71.62,2.21,1.7,0.68,79.66,55,6.82,4,65.36,14387,24,214,28,61.73
5.57,133.9,234.3,206.2,42.8,7,12,63.49,2.91,1.76,1.46,67.44,48,7.02,5,73.81,12360,28,228,27,60.8
4.56,112.7,208.3,66.3,42.0,10,6,80.21,1.64,1.44,1.03,82.17,70,7.58,3,98.94,17838,44,281,39,78.95
4.81,131.4,231.8,141.1,115.6,4,6,60.82,1.8,1.15,1.11,75.62,48,8.62,4,68.2,10505,23,150,21,66.15
4.36,113.6,263.4,159.4,85.5,8,4,63.13,2.04,1.25,1.31,70.9,38,7.88,3,59.49,9867,25,179,23,58.2
3.34,23.1,117.2,206.7,97.1,3,13,39.7,0.59,0.56,0.73,50.56,30,7.57,8,46.88,4594,12,40,9,23.21
4.3,137.6,209.5,185.3,105.2,7,9,36.96,2.43,1.16,0.29,70.35,22,7.53,5,45.86,9056,22,132,18,45.83
4.72,209.7,259.7,177.6,83.4,4,11,67.04,1.13,2.02,1.06,77.14,32,6.22,7,68.25,11324,22,127,20,50.13
5.16,136.3,243.6,162.4,118.7,7,7,59.58,1.64,1.69,1.31,73.75,50,8.25,4,67.1,9363,29,191,24,58.67
5.49,119.9,190.5,183.0,133.3,4,10,57.35,1.95,1.37,0.98,63.34,42,5.72,5,49.57,10742,21,199,11,42.32
3.98,108.7,185.8,198.6,95.7,5,13,58.59,1.61,1.15,1.6,44.62,33,7.64,6,39.35,6286,16,96,11,47.18
4.49,146.5,247.8,140.3,98.6,4,11,58.72,1.12,1.69,0.91,60.99,22,7.23,5,50.66,6532,15,134,18,54.13
4.89,143.8,182.4,247.4,87.4,7,11,52.82,1.48,1.76,0.96,71.19,28,7.35,6,56.32,9266,22,179,18,47.69
