productivity_score,focus_score,study_hours,xp,level,streak_days,completed_tasks,pending_tasks,coding_hours,reading_hours,revision_hours,quiz_score,productive_minutes,distraction_minutes,idle_minutes,sleep_hours,skill_progress,deadline_completion_rate,focus_sessions,average_session_minutes,recommendation
33.27,49.2,1.07,16274,17,22,5,3,0.21,1.21,1.44,35.37,149.91,162.56,142.78,7.35,43.52,55.95,3,26.6,1
88.25,61.48,4.34,29453,30,61,2,1,0.91,2.79,0.98,73.79,289.59,149.66,55.36,8.32,74.55,92.36,2,36.02,0
64.28,61.53,4.91,20028,21,41,1,14,1.72,0.81,1.09,47.83,162.5,155.87,99.36,6.71,45.77,37.09,1,28.89,6
40.18,58.08,5.77,22251,23,27,7,20,1.71,0.85,1.48,65.64,107.04,162.93,154.84,6.47,51.72,25.72,2,29.88,6
86.83,82.76,5.57,23730,24,57,9,4,1.81,2.55,1.17,61.96,307.56,91.24,60.98,4.64,55.34,89.32,6,65.94,2
77.66,89.61,7.23,22374,23,47,14,4,1.75,2.65,2.47,83.37,246.71,67.9,72.47,6.21,48.52,82.18,8,71.24,2
37.7,57.75,1.07,12998,13,24,5,8,1.27,1.27,0.41,35.26,96.67,154.3,138.66,6.2,33.14,40.67,1,19.7,5
48.16,77.72,2.28,8369,9,32,4,8,0.32,0.97,0.17,43.59,53.88,92.51,126.54,4.43,20.04,36.47,1,30.24,5
45.06,41.44,3.33,11998,12,29,1,24,1.12,1.13,1.23,42.54,184.31,193.24,134.9,6.06,22.79,41.62,3,27.38,6
27.68,37.5,2.3,17386,18,19,5,8,0.39,1.84,0.29,34.86,84.66,195.34,160.84,7.73,47.18,66.65,2,28.62,4
79.94,78.05,5.8,29935,30,53,8,4,0.71,1.71,2.37,90.03,216.3,87.04,85.59,7.07,73.11,76.47,3,42.23,7
52.92,61.2,6.47,22516,23,38,3,6,2.28,1.66,0.84,66.39,318.31,147.75,117.85,5.52,50.58,70.85,2,46.61,3
35.52,47.41,4.11,12289,13,27,2,22,0.85,1.99,1.02,52.1,157.79,174.44,131.96,6.53,26.78,22.54,2,42.38,6
71.1,94.89,9.18,23906,24,43,16,8,1.13,1.65,1.02,85.79,450.38,60.41,66.76,6.45,47.9,81.92,6,92.81,2
82.02,66.39,4.54,30172,31,52,13,5,0.8,2.51,1.1,98.12,230.07,136.23,74.17,5.94,76.24,74.92,2,40.24,7
28.16,52.72,3.35,22255,23,17,6,13,1.21,1.76,1.95,67.42,229.88,168.81,156.77,6.01,55.94,56.41,2,27.2,6
92.47,79.25,5.71,31674,32,63,6,2,1.7,1.43,1.45,70.59,275.07,99.4,58.14,7.97,77.18,68.92,8,70.64,2
40.59,35.63,4.94,19226,20,26,2,13,0.72,1.2,1.87,46.62,109.0,228.89,130.73,6.3,41.51,53.92,1,36.47,6
62.82,38.82,3.96,19717,20,40,7,11,1.02,1.97,1.06,52.34,122.62,209.32,114.84,7.3,46.64,43.44,1,42.86,6
53.26,67.82,2.22,14369,15,35,5,2,1.31,1.98,4.23,29.49,294.53,134.36,114.46,7.76,34.78,50.37,2,39.05,4
34.89,46.68,1.84,21101,22,21,8,3,0.58,0.65,0.8,63.47,46.25,187.18,142.74,6.98,55.45,47.2,2,41.11,1
72.35,78.42,7.56,25121,26,49,3,7,2.4,1.59,1.44,71.62,287.51,89.33,112.34,6.94,55.61,72.47,2,34.91,3
57.25,64.43,7.15,29957,30,35,6,3,2.49,0.83,1.6,65.65,333.8,132.9,104.38,5.66,68.75,77.91,3,32.81,3
70.39,83.48,5.07,17544,18,44,8,5,1.79,1.69,3.78,43.76,277.9,93.11,87.27,8.38,39.03,59.14,2,32.61,4
78.52,62.19,4.34,31452,32,48,2,4,0.82,2.25,1.87,69.43,217.34,143.44,75.92,8.58,82.36,88.64,2,42.75,0
83.98,76.73,4.01,30374,31,57,17,2,0.99,2.69,2.92,86.2,219.84,105.06,84.19,7.32,75.97,80.87,3,39.19,7
83.2,74.5,7.0,31595,32,58,12,8,1.75,1.59,2.42,61.98,270.21,111.19,73.5,7.41,71.36,67.67,8,57.86,2
85.64,59.6,4.18,30217,31,54,3,4,1.28,2.48,1.04,62.84,245.96,154.38,76.14,8.13,76.48,85.69,3,30.04,0
56.33,62.18,4.88,25006,26,37,9,7,3.76,0.83,1.4,49.84,248.87,136.06,127.44,4.98,59.36,72.74,3,41.4,4
89.28,81.96,6.51,32092,33,55,16,4,0.57,3.38,2.55,88.62,258.38,103.72,69.63,8.26,74.1,76.98,2,46.78,0
90.76,88.3,4.29,36403,37,55,6,4,1.21,3.18,1.47,97.63,310.71,67.43,72.57,4.01,96.1,93.32,3,42.41,7
31.05,24.48,3.01,26089,27,21,5,7,0.22,1.72,1.19,62.58,43.51,244.7,150.71,8.13,68.14,72.88,1,35.75,1
58.7,79.96,3.22,20558,21,36,5,4,1.71,2.49,1.62,38.75,226.37,98.52,100.97,6.09,51.79,72.4,2,40.29,4
61.74,85.13,5.19,17041,18,39,3,4,1.25,2.35,2.11,49.5,236.91,85.82,106.55,5.78,36.89,58.17,2,36.96,4
41.9,66.2,2.64,13193,14,26,2,4,1.55,1.21,3.3,27.34,195.14,135.69,128.02,7.1,31.22,58.69,3,33.21,4
43.06,64.47,3.42,17840,18,31,3,15,0.76,1.43,0.41,57.08,191.11,149.38,142.64,6.73,42.65,55.37,2,44.32,6
73.51,83.91,5.68,31177,32,46,10,4,2.61,1.13,0.89,65.36,260.61,88.06,86.51,6.7,76.92,54.83,3,35.11,3
44.47,58.37,4.52,14093,15,27,8,4,0.92,1.06,1.66,47.09,194.01,143.75,123.57,6.88,32.13,49.11,3,39.26,4
79.97,65.14,5.54,31214,32,50,3,5,0.82,2.69,1.81,68.41,261.59,140.68,79.16,6.39,76.95,77.59,2,33.83,0
38.34,71.23,2.07,10293,11,27,1,8,0.18,0.52,0.14,42.14,137.46,123.25,149.53,6.79,24.95,57.22,2,37.79,5
59.45,74.67,7.68,25855,26,50,11,5,5.67,1.0,0.93,57.56,322.57,112.71,100.41,7.1,56.23,55.55,2,42.19,3
75.43,81.4,4.7,37458,38,46,7,2,0.87,2.57,2.97,82.03,265.6,95.35,82.31,7.06,93.92,76.32,3,43.74,7
86.82,92.6,6.4,29900,30,53,11,6,1.27,2.04,1.55,65.51,418.39,73.34,54.17,7.27,71.47,78.1,6,86.85,2
88.02,63.26,4.94,27054,28,54,3,5,0.82,2.57,1.96,65.09,247.19,136.29,70.51,7.06,68.6,85.68,2,45.95,0
72.42,64.85,3.79,26770,27,50,3,3,0.78,1.82,1.11,70.78,164.89,125.62,83.11,6.89,70.48,82.9,2,34.54,0
37.81,51.39,2.79,25890,26,27,7,13,0.97,1.43,1.37,30.69,103.4,180.62,133.39,5.44,67.58,51.47,1,32.37,6
45.1,81.33,3.5,21187,22,28,8,3,0.79,2.47,2.02,48.34,297.32,82.56,122.91,6.66,51.34,60.99,3,31.34,4
75.36,91.34,4.2,27772,28,46,8,1,1.3,2.46,2.0,88.9,346.61,68.34,101.74,6.52,72.46,83.62,3,45.11,7
63.74,30.88,4.73,14793,15,39,6,10,1.79,1.98,0.49,65.02,173.91,222.82,103.01,6.93,31.32,54.42,3,23.7,6
79.11,82.07,8.07,22895,23,49,14,8,1.23,2.25,1.66,81.11,256.01,94.11,86.24,7.88,45.31,74.22,8,77.73,2
52.82,64.66,2.13,9206,10,32,2,2,1.46,1.29,0.18,42.1,72.85,129.2,109.32,8.61,21.77,57.26,2,25.7,5
85.22,76.84,5.58,21765,22,61,11,4,1.69,2.23,1.86,66.86,323.84,114.16,75.5,7.85,50.76,78.17,8,80.04,2
81.44,76.62,6.51,39210,40,51,14,1,0.6,1.45,1.64,84.32,314.02,115.01,87.61,6.88,97.43,74.34,2,38.46,7
