productivity_score,focus_score,study_hours,xp,level,streak_days,completed_tasks,pending_tasks,coding_hours,reading_hours,revision_hours,quiz_score,productive_minutes,distraction_minutes,idle_minutes,sleep_hours,skill_progress,deadline_completion_rate,focus_sessions,average_session_minutes,recommendation
54.25,50.47,4.93,30016,31,31,7,15,1.06,2.26,0.84,33.73,191.81,133.89,105.36,6.0,67.47,66.48,3,56.8,6
37.72,39.6,4.58,19649,20,26,5,15,1.58,1.74,1.22,47.74,199.34,183.98,99.93,6.4,44.57,42.24,3,69.66,2
54.31,59.59,5.53,30755,31,36,10,17,1.29,2.16,0.68,47.03,226.24,110.27,111.97,8.11,71.51,52.49,3,71.91,0
59.97,50.77,5.65,24245,25,46,12,20,1.55,0.96,1.14,65.95,256.18,135.07,60.32,5.55,51.01,69.21,5,51.11,2
72.21,66.06,7.46,26484,27,65,13,11,0.81,1.65,1.34,71.29,328.2,116.36,56.03,6.27,57.49,67.11,6,55.93,2
69.62,72.28,7.57,38241,39,47,15,10,1.86,2.45,0.92,68.4,352.77,63.85,80.32,3.71,68.4,78.53,5,60.29,2
40.56,38.94,2.99,19281,20,20,4,25,0.67,1.43,0.58,37.6,131.01,170.98,125.97,5.12,39.45,55.27,1,120.0,2
59.96,58.55,5.86,31365,32,35,12,13,1.71,1.89,0.62,63.41,241.82,135.03,115.44,8.21,59.09,68.29,5,48.57,7
24.47,33.51,4.01,25883,26,9,0,26,1.4,0.37,0.56,27.39,158.1,210.14,161.94,6.85,49.96,39.2,2,74.94,1
29.93,33.9,1.67,22810,23,11,6,22,0.25,0.47,0.3,25.86,92.74,261.71,126.5,7.16,55.06,39.94,2,46.68,1
58.06,66.5,4.85,19194,20,37,14,14,1.48,1.64,1.41,50.58,209.52,152.34,86.32,7.5,39.92,61.04,3,56.46,4
47.82,66.12,5.21,20304,21,34,9,21,1.92,1.06,1.59,52.75,238.39,128.16,54.62,6.97,37.17,58.43,4,52.59,4
52.23,31.34,5.88,32968,33,34,9,17,2.13,1.13,1.7,34.76,272.24,190.69,99.79,5.21,79.76,56.91,4,66.13,2
78.07,67.54,7.42,13491,14,60,20,12,3.09,2.42,1.63,60.75,336.22,127.74,73.24,6.46,26.87,82.61,6,60.56,2
81.05,63.43,8.61,33365,34,55,19,10,1.2,2.4,1.26,88.53,389.71,78.84,61.04,7.8,59.43,91.48,8,48.12,0
44.11,37.23,6.74,21187,22,27,10,20,2.38,2.45,1.27,41.63,323.25,223.46,89.24,4.94,50.49,49.75,6,55.72,1
63.57,61.43,7.34,22469,23,49,13,13,2.82,1.3,1.1,51.06,343.22,121.87,112.62,7.9,49.42,55.59,6,54.21,3
56.39,60.54,3.16,20118,21,32,10,14,0.65,0.07,1.16,67.49,122.75,102.48,123.17,6.48,50.4,59.55,1,120.0,7
32.61,41.12,1.07,10027,11,13,2,24,0.93,0.52,0.35,37.24,41.48,131.12,130.78,7.49,20.04,38.02,1,39.25,5
66.34,63.16,4.82,14794,15,50,12,17,0.24,1.52,1.02,65.46,223.0,120.33,59.44,5.87,23.95,56.65,5,42.1,0
53.11,40.74,3.4,20755,21,33,9,18,2.01,0.74,0.58,52.3,170.68,148.84,129.37,6.04,53.83,65.2,3,53.65,1
74.2,90.32,7.06,12060,13,52,17,6,1.29,0.55,1.28,80.03,308.87,137.89,56.98,5.88,27.44,84.7,6,48.25,0
54.97,51.87,4.24,25908,26,34,10,20,1.0,1.69,0.94,56.87,208.32,171.01,123.18,8.06,68.17,61.78,3,72.41,6
35.56,53.63,2.53,12626,13,14,8,17,0.97,0.58,0.12,29.01,110.36,130.81,123.55,7.05,30.67,48.13,1,113.06,5
40.0,31.29,3.17,28931,29,17,5,20,0.33,0.98,0.59,18.96,110.01,246.26,111.98,7.3,75.32,35.43,3,35.15,1
