Class,Class Name,Feature,Mean,Median,Std,Min,Max
0,Continue Current Skill,productivity_score,65.6263,65.8,11.6163,14.27,100.0
0,Continue Current Skill,focus_score,62.4086,62.31,9.7867,28.87,96.7
0,Continue Current Skill,study_hours,6.1507,6.16,1.3757,0.97,10.69
0,Continue Current Skill,xp,27726.8197,27951.5,6248.9664,6446.0,46666.0
0,Continue Current Skill,level,28.2273,28.0,6.255,7.0,47.0
0,Continue Current Skill,streak_days,44.669,45.0,9.9902,11.0,95.0
0,Continue Current Skill,completed_tasks,13.2496,13.0,3.4758,0.0,26.0
0,Continue Current Skill,pending_tasks,12.3467,12.0,3.7863,0.0,27.0
0,Continue Current Skill,coding_hours,1.7635,1.67,0.8529,0.0,5.56
0,Continue Current Skill,reading_hours,1.5468,1.49,0.7106,0.0,4.44
0,Continue Current Skill,revision_hours,1.1484,1.11,0.5209,0.0,3.42
0,Continue Current Skill,quiz_score,61.5085,61.4,12.1911,19.13,100.0
0,Continue Current Skill,productive_minutes,276.1655,276.62,64.8212,26.08,492.46
0,Continue Current Skill,distraction_minutes,125.0639,125.575,37.4,0.0,264.46
0,Continue Current Skill,idle_minutes,83.7825,83.665,24.3829,0.0,176.55
0,Continue Current Skill,sleep_hours,7.1503,7.16,1.1505,3.0,10.0
0,Continue Current Skill,skill_progress,60.0445,60.68,14.3326,8.93,100.0
0,Continue Current Skill,deadline_completion_rate,69.1425,69.1,11.281,29.67,100.0
0,Continue Current Skill,focus_sessions,5.0352,5.0,1.472,1.0,10.0
0,Continue Current Skill,average_session_minutes,57.1123,54.995,15.0025,11.77,120.0
1,Start Focus Session,productivity_score,39.3016,39.16,11.544,6.47,84.15
1,Start Focus Session,focus_score,40.1372,40.23,9.2373,7.12,70.32
1,Start Focus Session,study_hours,3.5213,3.53,1.3418,0.5,8.4
1,Start Focus Session,xp,23252.1772,23441.0,6594.2505,2316.0,44428.0
1,Start Focus Session,level,23.7543,24.0,6.6048,3.0,45.0
1,Start Focus Session,streak_days,24.4182,24.0,9.7517,2.0,77.0
1,Start Focus Session,completed_tasks,6.5905,7.0,3.3609,0.0,20.0
1,Start Focus Session,pending_tasks,19.8507,20.0,3.5627,7.0,30.0
1,Start Focus Session,coding_hours,1.0206,0.95,0.6139,0.0,3.58
1,Start Focus Session,reading_hours,0.885,0.83,0.5468,0.0,3.27
1,Start Focus Session,revision_hours,0.6807,0.65,0.4243,0.0,2.46
1,Start Focus Session,quiz_score,37.8794,38.05,12.2535,0.0,80.5
1,Start Focus Session,productive_minutes,156.2073,156.05,63.6967,15.0,382.0
1,Start Focus Session,distraction_minutes,189.5332,189.75,34.9953,41.34,325.49
1,Start Focus Session,idle_minutes,117.4541,117.37,24.5533,25.38,211.24
1,Start Focus Session,sleep_hours,7.0276,7.01,1.1696,3.0,10.0
1,Start Focus Session,skill_progress,55.1995,55.45,14.7128,10.57,97.11
1,Start Focus Session,deadline_completion_rate,50.2214,50.11,11.0967,13.29,89.84
1,Start Focus Session,focus_sessions,3.2032,3.0,1.3777,1.0,9.0
1,Start Focus Session,average_session_minutes,51.7274,48.7,20.2749,5.0,120.0
2,Take Short Break,productivity_score,60.6386,61.06,13.1337,16.91,98.85
2,Take Short Break,focus_score,57.3887,57.415,10.6494,20.72,96.1
2,Take Short Break,study_hours,6.0868,6.11,1.5236,1.61,10.99
2,Take Short Break,xp,23635.7898,23510.5,6580.8363,3758.0,43350.0
2,Take Short Break,level,24.1339,24.0,6.5858,4.0,44.0
2,Take Short Break,streak_days,41.7176,42.0,10.9789,7.0,86.0
2,Take Short Break,completed_tasks,12.2179,12.0,3.821,0.0,24.0
2,Take Short Break,pending_tasks,13.9542,14.0,4.0218,0.0,29.0
2,Take Short Break,coding_hours,1.7399,1.65,0.8484,0.0,5.45
2,Take Short Break,reading_hours,1.5259,1.45,0.728,0.0,4.47
2,Take Short Break,revision_hours,1.1487,1.11,0.5332,0.0,3.37
2,Take Short Break,quiz_score,58.2218,58.61,13.2044,6.42,100.0
2,Take Short Break,productive_minutes,277.5201,278.47,69.9096,80.58,504.11
2,Take Short Break,distraction_minutes,135.7872,136.135,38.9631,0.0,286.6
2,Take Short Break,idle_minutes,88.7248,88.58,25.7151,0.0,188.82
2,Take Short Break,sleep_hours,6.2306,6.24,1.1038,3.0,10.0
2,Take Short Break,skill_progress,49.9701,49.88,15.0833,2.23,98.12
2,Take Short Break,deadline_completion_rate,66.6002,66.795,12.1629,23.07,100.0
2,Take Short Break,focus_sessions,4.1785,4.0,1.8043,1.0,10.0
2,Take Short Break,average_session_minutes,74.8591,69.07,23.044,24.76,120.0
3,Practice Coding,productivity_score,53.9172,53.9,13.565,9.13,96.7
3,Practice Coding,focus_score,52.6781,52.545,10.5721,16.33,88.57
3,Practice Coding,study_hours,5.4361,5.4,1.4975,0.5,10.45
3,Practice Coding,xp,20335.0654,20054.5,6507.2003,1508.0,42753.0
3,Practice Coding,level,20.8373,21.0,6.5165,2.0,43.0
3,Practice Coding,streak_days,36.2915,36.0,11.2527,4.0,97.0
3,Practice Coding,completed_tasks,10.4446,10.0,3.8617,0.0,25.0
3,Practice Coding,pending_tasks,15.4133,15.0,4.0019,1.0,29.0
3,Practice Coding,coding_hours,2.355,2.33,0.7988,0.0,5.35
3,Practice Coding,reading_hours,1.3625,1.3,0.6809,0.0,4.19
3,Practice Coding,revision_hours,1.0223,0.98,0.5096,0.0,3.31
3,Practice Coding,quiz_score,47.6585,47.59,13.8437,0.0,96.01
3,Practice Coding,productive_minutes,244.5211,244.14,70.0303,26.63,503.92
3,Practice Coding,distraction_minutes,148.3985,148.605,37.9361,10.21,292.41
3,Practice Coding,idle_minutes,97.9108,97.73,26.2858,0.0,192.76
3,Practice Coding,sleep_hours,7.1022,7.09,1.1633,3.0,10.0
3,Practice Coding,skill_progress,43.4052,42.635,14.4769,3.12,90.8
3,Practice Coding,deadline_completion_rate,61.3146,61.18,12.5514,18.22,100.0
3,Practice Coding,focus_sessions,4.4244,4.0,1.5821,1.0,11.0
3,Practice Coding,average_session_minutes,59.0133,55.965,18.2198,5.0,120.0
4,Revision,productivity_score,51.2603,51.36,13.5233,8.02,95.11
4,Revision,focus_score,50.6837,50.59,10.8783,16.07,91.95
4,Revision,study_hours,5.2086,5.225,1.4928,0.63,10.67
4,Revision,xp,17753.2401,17472.5,5962.4589,745.0,40293.0
4,Revision,level,18.2558,18.0,5.968,1.0,41.0
4,Revision,streak_days,34.1585,34.0,11.4018,2.0,88.0
4,Revision,completed_tasks,9.7625,10.0,3.8776,0.0,22.0
4,Revision,pending_tasks,16.0419,16.0,4.0702,2.0,30.0
